set,lvl,end,start,diff,stimulus,ptcp,accuracy
1,0,4066,3574,3.69924812030075,3,1,0
1,1,6460,5982,3.59398496240602,3,1,0
1,2,10420,9970,3.38345864661654,3,1,0
1,3,12976,12404,4.30075187969925,2,1,0
1,4,16008,15408,4.51127819548872,1,1,0
1,5,18750,18290,3.45864661654135,1,1,0
1,6,21300,20818,3.62406015037594,3,1,0
1,7,24106,23660,3.35338345864662,3,1,0
1,8,26540,26115,3.19548872180451,2,1,0
1,10,35205,34753,3.3984962406015,2,1,0
1,11,37968,37500,3.5187969924812,2,1,0
1,12,40927,40429,3.74436090225564,3,1,0
1,13,43811,43358,3.40601503759398,3,1,0
1,14,46302,45877,3.19548872180451,2,1,0
1,15,48520,48079,3.31578947368421,1,1,0
1,16,51336,50898,3.29323308270677,1,1,1
1,17,53925,53487,3.29323308270677,1,1,0
1,18,58859,58402,3.43609022556391,1,1,0
1,19,62155,61723,3.24812030075188,2,1,0
1,20,64805,64365,3.30827067669173,3,1,0
1,21,67106,66674,3.24812030075188,3,1,0
1,22,70343,69896,3.3609022556391,1,1,0
1,23,72882,72444,3.29323308270677,1,1,0
1,25,85033,84575,3.44360902255639,2,1,0
1,26,87708,87237,3.54135338345865,2,1,1
1,27,91866,91421,3.34586466165414,1,1,0
1,28,94662,94225,3.28571428571429,1,1,0
1,29,96808,96363,3.34586466165414,3,1,0
1,30,98990,98502,3.66917293233083,2,1,0
1,31,101156,100712,3.33834586466165,3,1,0
1,32,103359,102892,3.51127819548872,3,1,1
1,33,105785,105348,3.28571428571429,2,1,0
1,34,108541,108096,3.34586466165414,2,1,1
2,0,117995,117565,3.23308270676692,2,1,0
2,1,121729,121279,3.38345864661654,1,1,1
2,2,123849,123408,3.31578947368421,1,1,0
2,3,126609,126177,3.24812030075188,3,1,0
2,4,128816,128374,3.32330827067669,1,1,0
2,5,131263,130827,3.2781954887218,3,1,0
2,6,133561,133131,3.23308270676692,2,1,0
2,7,135806,135371,3.27067669172932,2,1,0
2,8,137890,137463,3.21052631578947,3,1,0
2,9,141327,140892,3.27067669172932,3,1,0
2,10,143544,143112,3.24812030075188,2,1,0
2,11,145806,145368,3.29323308270677,3,1,0
2,12,148024,147589,3.27067669172932,1,1,0
2,13,151214,150786,3.21804511278195,1,1,0
2,14,153550,153114,3.2781954887218,3,1,0
2,15,156450,156016,3.26315789473684,2,1,0
2,16,159073,158638,3.27067669172932,2,1,0
2,17,161698,161267,3.2406015037594,1,1,0
2,18,163941,163503,3.29323308270677,2,1,0
2,19,166151,165716,3.27067669172932,1,1,0
2,20,168589,168159,3.23308270676692,1,1,0
2,21,171467,171003,3.48872180451128,2,1,1
2,22,175360,174915,3.34586466165414,3,1,0
2,23,178019,177590,3.22556390977444,1,1,0
2,24,181002,180575,3.21052631578947,2,1,0
2,25,183210,182776,3.26315789473684,1,1,0
2,26,185517,185077,3.30827067669173,3,1,0
2,27,188631,188199,3.24812030075188,3,1,0
2,28,191191,190746,3.34586466165414,2,1,0
2,29,194030,193600,3.23308270676692,2,1,0
2,30,196560,196127,3.25563909774436,3,1,0
2,31,199044,198613,3.2406015037594,3,1,0
2,32,202294,201860,3.26315789473684,1,1,0
2,33,204838,204402,3.2781954887218,3,1,0
2,34,207231,206793,3.29323308270677,1,1,0
3,0,212083,211639,3.33834586466165,2,1,0
3,1,214154,213707,3.3609022556391,3,1,0
3,2,217197,216756,3.31578947368421,1,1,0
3,3,219437,219003,3.26315789473684,3,1,0
3,4,221905,221455,3.38345864661654,3,1,0
3,5,224113,223662,3.39097744360902,1,1,0
3,6,226680,226247,3.25563909774436,3,1,0
3,7,229274,228843,3.2406015037594,3,1,0
3,8,232301,231862,3.30075187969925,1,1,0
3,9,234396,233968,3.21804511278195,1,1,0
3,10,237286,236848,3.29323308270677,2,1,0
3,11,240214,239765,3.37593984962406,2,1,0
3,12,243063,242635,3.21804511278195,3,1,0
3,13,245215,244777,3.29323308270677,2,1,0
3,14,248738,248308,3.23308270676692,1,1,0
3,15,254199,253765,3.26315789473684,3,1,0
3,16,256699,256267,3.24812030075188,3,1,0
3,17,258911,258474,3.28571428571429,2,1,0
3,18,261288,260854,3.26315789473684,3,1,0
3,19,264201,263776,3.19548872180451,1,1,0
3,20,266618,266171,3.3609022556391,1,1,0
3,21,268807,268366,3.31578947368421,2,1,0
3,22,271035,270600,3.27067669172932,2,1,0
3,23,273463,273031,3.24812030075188,3,1,0
3,24,275909,275461,3.36842105263158,1,1,0
3,25,278562,278124,3.29323308270677,3,1,0
3,26,281169,280739,3.23308270676692,2,1,0
3,27,284122,283686,3.2781954887218,2,1,0
3,28,286762,286329,3.25563909774436,1,1,0
3,29,289245,288810,3.27067669172932,2,1,0
3,30,291442,291011,3.2406015037594,1,1,0
3,31,293488,293056,3.24812030075188,2,1,0
3,32,295706,295266,3.30827067669173,1,1,0
3,33,297810,297372,3.29323308270677,3,1,0
3,34,300498,300057,3.31578947368421,1,1,0
1,0,3233,2625,4.57142857142857,3,2,0
1,1,7632,7040,4.45112781954887,1,2,0
1,2,11601,10908,5.21052631578947,3,2,0
1,3,14978,14389,4.42857142857143,1,2,1
1,4,17973,17312,4.96992481203007,2,2,0
1,5,20924,20285,4.80451127819549,3,2,0
